Model: gpt2
Planes scanned: 864  (layers=0..11, heads=0..11, SV-pairs from top-4)
Alphas: [3.0, 10.0]  n_angles=12  prompts=3
Thresholds: lin>0.95  dphi<10.0  amp_slope>0.2
Random-plane null: 432 planes (3 seeds x 144 heads) -- 9 pass (2.1%)
Null amp_slope: mean=0.046 p95=0.108 max=1.224
PASSED planes: 16 / 864 (1.9%)

rank   L   H      SV   A_lo   A_hi  slope     R2   dphi  phi_hi
----------------------------------------------------------------------
  7   7 (2,3)   0.20   0.41  0.041  0.971   13.4    no
  5   4 (0,3)   0.18   0.41  0.041  0.987   12.2    no
  2   1 (1,2)   0.08   0.41  0.041  0.993    2.2    no
  7   1 (0,1)   0.07   0.40  0.040  0.985   46.3    no
  7  11 (1,3)   0.09   0.40  0.040  0.996   31.4    no
 11   3 (0,3)   0.16   0.40  0.040  0.994    5.0    no
  6   8 (1,3)   0.14   0.40  0.040  0.997    6.9    no
 11   2 (1,2)   0.13   0.40  0.040  0.999    2.8    no
  7   4 (0,1)   0.18   0.40  0.040  0.983    2.3    no
  6   1 (2,3)   0.10   0.40  0.040  0.997   17.7    no
 10   8 (0,3)   0.09   0.40  0.040  0.996   14.4    no
  5   2 (0,2)   0.10   0.40  0.040  0.997   16.0    no
 11   5 (1,3)   0.12   0.40  0.040  1.000    6.7    no
  6   5 (0,2)   0.04   0.39  0.039  0.964  160.9    no
  9   8 (0,2)   0.18   0.39  0.039  0.983   12.0    no
  8   0 (0,1)   0.12   0.39  0.039  1.000   18.5    no
  8   9 (1,2)   0.04   0.39  0.039  0.966   27.3    no
 10   2 (0,2)   0.12   0.39  0.039  1.000    0.2    no
  6   1 (0,2)   0.09   0.39  0.039  0.994    8.0    no
  3   5 (0,2)   0.10   0.39  0.039  0.999   96.9    no
  3  10 (1,2)   0.03   0.39  0.039  0.950  113.9    no
  6   7 (1,2)   0.07   0.39  0.039  0.987   26.4    no
 11   5 (0,3)   0.16   0.39  0.039  0.990   13.1    no
  4   4 (1,2)   0.14   0.39  0.039  0.998   37.0    no
 11   6 (0,3)   0.11   0.39  0.039  0.999    2.6    no
