file,condition,alpha,domain,metric,value,n,k_inferred,wilson_lo,wilson_hi,boot_lo,boot_hi,half_width
crowspairs_llama.csv,ensemble_K4,20.0,profession,ss,73.25581395348837,172,126,66.1858760636591,79.30965186048999,66.27906976744185,79.65116279069767,6.686046511627907
crowspairs_llama.csv,ensemble_K4,20.0,gender,ss,56.48854961832061,262,148,50.43442918115018,62.35514854341855,50.75381679389314,62.59541984732825,5.9208015267175576
crowspairs_llama.csv,ensemble_K4,20.0,religion,ss,58.095238095238095,105,61,48.53569524888766,67.08335302940296,48.57142857142857,67.61904761904762,9.523809523809526
crowspairs_llama.csv,ensemble_K4,20.0,overall,ss,49.00473933649289,1055,517,45.99730763443753,52.01939261609958,45.97156398104265,51.94312796208531,2.985781990521332
crowspairs_phi3.csv,baseline,0.0,race,ss,52.51937984496124,516,271,48.2080212652903,56.79350363404794,48.25581395348838,56.78294573643411,4.263565891472865
crowspairs_phi3.csv,baseline,0.0,profession,ss,57.55813953488372,172,99,50.08585791277037,64.70018866257809,50.0,65.11627906976744,7.558139534883722
crowspairs_phi3.csv,baseline,0.0,gender,ss,57.63358778625954,262,151,51.58227108980081,63.46429093910356,51.526717557251914,63.358778625954194,5.91603053435114
crowspairs_phi3.csv,baseline,0.0,religion,ss,59.04761904761905,105,62,49.48448240745816,67.97210096239606,49.523809523809526,68.57142857142857,9.523809523809522
crowspairs_phi3.csv,baseline,0.0,overall,ss,55.26066350710901,1055,583,52.246595626886716,58.23656019170285,52.322274881516584,58.199052132701425,2.9383886255924203
crowspairs_phi3.csv,ensemble_K4,5.0,race,ss,50.775193798449614,516,262,46.47181755536646,55.06711318289145,46.51162790697674,55.03875968992248,4.263565891472869
crowspairs_phi3.csv,ensemble_K4,5.0,profession,ss,54.651162790697676,172,94,47.19067420763295,61.90843137719685,47.093023255813954,62.2093023255814,7.558139534883722
crowspairs_phi3.csv,ensemble_K4,5.0,gender,ss,32.44274809160305,262,85,27.063030054765154,38.3298772787548,27.099236641221374,38.16793893129771,5.534351145038169
crowspairs_phi3.csv,ensemble_K4,5.0,religion,ss,58.095238095238095,105,61,48.53569524888766,67.08335302940296,48.57142857142857,67.61904761904762,9.523809523809526
crowspairs_phi3.csv,ensemble_K4,5.0,overall,ss,47.58293838862559,1055,502,44.58357861645313,50.59983627770842,44.54976303317535,50.52132701421801,2.9857819905213283
crowspairs_phi3.csv,ensemble_K4,10.0,race,ss,47.86821705426357,516,247,43.589689112285065,52.1782513575057,43.604651162790695,52.13178294573644,4.263565891472872
crowspairs_phi3.csv,ensemble_K4,10.0,profession,ss,52.325581395348834,172,90,44.89237813655424,59.65717465586068,44.76744186046512,59.883720930232556,7.558139534883718
crowspairs_phi3.csv,ensemble_K4,10.0,gender,ss,32.82442748091603,262,86,27.42246225468695,38.72277318027823,27.480916030534353,38.54961832061068,5.5343511450381655
crowspairs_phi3.csv,ensemble_K4,10.0,religion,ss,60.95238095238095,105,64,51.39244529196772,69.7392082610137,51.42857142857142,70.47619047619048,9.523809523809529
crowspairs_phi3.csv,ensemble_K4,10.0,overall,ss,46.161137440758296,1055,487,43.17228499145855,49.17784454632746,43.127962085308056,49.09952606635071,2.9857819905213283
crowspairs_routed_gemma_calib.csv,baseline,0.0,race,ss,56.007751937984494,516,289,51.69610463893364,60.23060858256517,51.74418604651163,60.27131782945736,4.263565891472865
crowspairs_routed_gemma_calib.csv,baseline,0.0,profession,ss,63.95348837209303,172,110,56.54550037434451,70.75181638014494,56.97674418604651,70.93023255813954,6.976744186046513
crowspairs_routed_gemma_calib.csv,baseline,0.0,gender,ss,51.14503816793893,262,134,45.11959909953636,57.13738520479929,45.41984732824427,57.25190839694656,5.916030534351144
crowspairs_routed_gemma_calib.csv,baseline,0.0,religion,ss,63.80952380952381,105,67,54.28099778622195,72.36326104145023,54.285714285714285,73.33333333333333,9.523809523809522
crowspairs_routed_gemma_calib.csv,baseline,0.0,overall,ss,56.872037914691944,1055,600,53.863945545884874,59.8302670099303,53.93364928909953,59.810426540284354,2.938388625592413
crowspairs_routed_gemma_calib.csv,routed_calib,81.35799208554863,race,ss,31.976744186046513,516,165,28.09851170968296,36.12134862582062,28.100775193798448,36.04651162790697,3.9728682170542626
crowspairs_routed_gemma_calib.csv,routed_calib,29.726381606333852,profession,ss,65.11627906976744,172,112,57.73391632741526,71.83817682328166,58.139534883720934,72.09302325581395,6.976744186046506
crowspairs_routed_gemma_calib.csv,routed_calib,55.26473349230913,gender,ss,32.44274809160305,262,85,27.063030054765154,38.3298772787548,27.099236641221374,38.16793893129771,5.534351145038169
crowspairs_routed_gemma_calib.csv,routed_calib,31.188676465617817,religion,ss,60.0,105,63,50.43671983324414,68.85739862817366,50.476190476190474,69.52380952380952,9.523809523809522
crowspairs_routed_gemma_calib.csv,routed_calib,-1.0,overall,ss,40.28436018957346,1055,425,37.36516402365106,43.274052707782666,37.345971563981045,43.22274881516588,2.9383886255924168
crowspairs_routed_gpt2.csv,baseline,0.0,race,ss,50.0,516,258,45.701839398170506,54.298160601829494,45.73643410852713,54.263565891472865,4.263565891472869
crowspairs_routed_gpt2.csv,baseline,0.0,profession,ss,61.627906976744185,172,106,54.18179440123243,68.5659695608421,54.06976744186046,68.6046511627907,7.267441860465119
crowspairs_routed_gpt2.csv,baseline,0.0,gender,ss,48.47328244274809,262,127,42.48765930029835,54.50302829392078,42.36641221374045,54.20801526717543,5.92080152671749
crowspairs_routed_gpt2.csv,baseline,0.0,religion,ss,60.0,105,63,50.43671983324414,68.85739862817366,50.476190476190474,69.52380952380952,9.523809523809522
crowspairs_routed_gpt2.csv,baseline,0.0,overall,ss,52.51184834123223,1055,554,49.49488729117085,55.510583505092626,49.573459715639814,55.54502369668246,2.9857819905213248
crowspairs_routed_gpt2.csv,routed_K4,0.75,race,ss,50.3875968992248,516,260,46.08670027401616,54.682765095112806,46.12403100775194,54.65116279069767,4.263565891472865
crowspairs_routed_gpt2.csv,routed_K4,0.75,profession,ss,59.883720930232556,172,103,52.4201869238225,66.91541244394085,52.32558139534884,66.86046511627907,7.267441860465116
crowspairs_routed_gpt2.csv,routed_K4,0.75,gender,ss,40.0763358778626,262,105,34.327113072475136,46.11235628994918,34.35114503816794,46.18320610687023,5.916030534351144
crowspairs_routed_gpt2.csv,routed_K4,0.75,religion,ss,58.095238095238095,105,61,48.53569524888766,67.08335302940296,48.57142857142857,67.61904761904762,9.523809523809526
crowspairs_routed_gpt2.csv,routed_K4,0.75,overall,ss,50.14218009478673,1055,529,47.13003938321292,53.153289152424634,47.20142180094787,53.17535545023697,2.9869668246445507
crowspairs_routed_gpt2.csv,routed_K4,1.5,race,ss,53.68217054263566,516,277,49.36838460408336,57.94153640264172,49.41860465116279,57.94573643410853,4.263565891472872
crowspairs_routed_gpt2.csv,routed_K4,1.5,profession,ss,57.55813953488372,172,99,50.08585791277037,64.70018866257809,50.0,65.11627906976744,7.558139534883722
crowspairs_routed_gpt2.csv,routed_K4,1.5,gender,ss,35.11450381679389,262,92,29.587660582304053,41.071543461332425,29.389312977099237,40.839694656488554,5.725190839694658
crowspairs_routed_gpt2.csv,routed_K4,1.5,religion,ss,55.23809523809524,105,58,45.70972192276588,64.39672108083394,45.714285714285715,64.76190476190476,9.523809523809522
crowspairs_routed_gpt2.csv,routed_K4,1.5,overall,ss,49.85781990521327,1055,526,46.846710847575366,52.86996061678708,46.824644549763036,52.7985781990521,2.986966824644533
crowspairs_routed_gpt2_calib.csv,baseline,0.0,race,ss,50.0,516,258,45.701839398170506,54.298160601829494,45.73643410852713,54.263565891472865,4.263565891472869
crowspairs_routed_gpt2_calib.csv,baseline,0.0,profession,ss,61.627906976744185,172,106,54.18179440123243,68.5659695608421,54.06976744186046,68.6046511627907,7.267441860465119
crowspairs_routed_gpt2_calib.csv,baseline,0.0,gender,ss,48.47328244274809,262,127,42.48765930029835,54.50302829392078,42.36641221374045,54.20801526717543,5.92080152671749
crowspairs_routed_gpt2_calib.csv,baseline,0.0,religion,ss,60.0,105,63,50.43671983324414,68.85739862817366,50.476190476190474,69.52380952380952,9.523809523809522
crowspairs_routed_gpt2_calib.csv,baseline,0.0,overall,ss,52.51184834123223,1055,554,49.49488729117085,55.510583505092626,49.573459715639814,55.54502369668246,2.9857819905213248
crowspairs_routed_gpt2_calib.csv,routed_calib,1.7951808649824936,race,ss,53.29457364341085,516,275,48.98133889901953,57.55911673857658,49.031007751937985,57.55813953488372,4.263565891472869
crowspairs_routed_gpt2_calib.csv,routed_calib,1.3742810085440038,profession,ss,57.55813953488372,172,99,50.08585791277037,64.70018866257809,50.0,65.11627906976744,7.558139534883722
crowspairs_routed_gpt2_calib.csv,routed_calib,1.8899548579439753,gender,ss,33.587786259541986,262,88,28.14256963952142,39.50732199833419,27.86259541984733,39.31297709923664,5.725190839694655
crowspairs_routed_gpt2_calib.csv,routed_calib,1.8701824265692044,religion,ss,57.142857142857146,105,60,47.59032494751174,66.19118823921526,47.61904761904761,66.66666666666666,9.523809523809522
crowspairs_routed_gpt2_calib.csv,routed_calib,-1.0,overall,ss,49.47867298578199,1055,522,46.46909044688899,52.4920382557733,46.44549763033176,52.41706161137441,2.9857819905213248
crowspairs_routed_llama.csv,baseline,0.0,race,ss,50.968992248062015,516,263,46.664472367826136,55.25919105499626,46.70542635658915,55.23255813953488,4.263565891472865
crowspairs_routed_llama.csv,baseline,0.0,profession,ss,66.86046511627907,172,115,59.52501144301894,73.45924630198914,59.883720930232556,73.83720930232558,6.97674418604651
crowspairs_routed_llama.csv,baseline,0.0,gender,ss,54.19847328244275,262,142,48.148277661592566,60.12733145430483,48.091603053435115,60.30534351145038,6.106870229007633
crowspairs_routed_llama.csv,baseline,0.0,religion,ss,74.28571428571429,105,78,65.173054142379,81.68409069249279,65.71428571428571,82.85714285714286,8.571428571428577
crowspairs_routed_llama.csv,baseline,0.0,overall,ss,56.682464454976305,1055,598,53.67350343134197,59.642937743623115,53.74407582938389,59.62085308056872,2.9383886255924168
crowspairs_routed_llama.csv,routed_K4,10.0,race,ss,38.75968992248062,516,200,34.65378584006015,43.031718455200156,34.689922480620154,42.834302325581326,4.072189922480586
crowspairs_routed_llama.csv,routed_K4,10.0,profession,ss,50.0,172,86,42.60977848254959,57.390221517450414,42.44186046511628,57.55813953488372,7.558139534883722
crowspairs_routed_llama.csv,routed_K4,10.0,gender,ss,54.58015267175573,262,143,48.528426445779736,60.49951077156287,48.854961832061065,60.68702290076335,5.916030534351144
crowspairs_routed_llama.csv,routed_K4,10.0,religion,ss,72.38095238095238,105,76,63.154206944486624,80.02786770725797,63.8095238095238,80.95238095238095,8.571428571428573
crowspairs_routed_llama.csv,routed_K4,10.0,overall,ss,47.867298578199055,1055,505,44.86612990016335,50.88394206527332,44.834123222748815,50.80568720379147,2.9857819905213283
crowspairs_routed_llama.csv,routed_K4,20.0,race,ss,30.03875968992248,516,155,26.24272530125582,34.129808188602986,26.16279069767442,34.10852713178294,3.972868217054261
crowspairs_routed_llama.csv,routed_K4,20.0,profession,ss,49.41860465116279,172,85,42.041573094467005,56.82103870742926,41.86046511627907,56.97674418604651,7.558139534883718
crowspairs_routed_llama.csv,routed_K4,20.0,gender,ss,54.58015267175573,262,143,48.528426445779736,60.49951077156287,48.854961832061065,60.68702290076335,5.916030534351144
crowspairs_routed_llama.csv,routed_K4,20.0,religion,ss,60.0,105,63,50.43671983324414,68.85739862817366,50.476190476190474,69.52380952380952,9.523809523809522
crowspairs_routed_llama.csv,routed_K4,20.0,overall,ss,42.274881516587676,1055,446,39.32730158621043,45.27851464414906,39.33649289099526,45.21327014218009,2.9383886255924168
crowspairs_routed_llama_snr0.10.csv,baseline,0.0,race,ss,50.968992248062015,516,263,46.664472367826136,55.25919105499626,46.70542635658915,55.23255813953488,4.263565891472865
crowspairs_routed_llama_snr0.10.csv,baseline,0.0,profession,ss,66.86046511627907,172,115,59.52501144301894,73.45924630198914,59.883720930232556,73.83720930232558,6.97674418604651
crowspairs_routed_llama_snr0.10.csv,baseline,0.0,gender,ss,54.19847328244275,262,142,48.148277661592566,60.12733145430483,48.091603053435115,60.30534351145038,6.106870229007633
crowspairs_routed_llama_snr0.10.csv,baseline,0.0,religion,ss,74.28571428571429,105,78,65.173054142379,81.68409069249279,65.71428571428571,82.85714285714286,8.571428571428577
crowspairs_routed_llama_snr0.10.csv,baseline,0.0,overall,ss,56.682464454976305,1055,598,53.67350343134197,59.642937743623115,53.74407582938389,59.62085308056872,2.9383886255924168
crowspairs_routed_llama_snr0.10.csv,routed_calib,3.559740681557003,race,ss,45.348837209302324,516,234,41.103546262187756,49.66286930826478,41.08527131782946,49.6124031007752,4.263565891472869
